word, sentences,english_meaning
"absagen, sagt ab, sagte ab, hat abgesagt","Ich muss unser Treffen leider absagen, weil ich krank geworden bin.",cancel
"der Abschluss, ¨-e",Ein guter Schulabschluss ist sehr wichtig.,the conclusion
"der Abschnitt, -e",Lesen Sie bitte den zweiten Abschnitt.,the section
"der Absender, -
die Absenderin, -nen",Schicken Sie das Paket an den Absender zurück.,the sender
"die Absicht, -en","1. Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.
2. Hast du die Absicht zu studieren?",the intention
absolut,"1. Was Sie da sagen, ist absolut falsch.
2. Ich habe absolutes Vertrauen zu dir.",absolutely
"abstimmen, stimmt ab, stimmte ab, hat abgestimmt",Lasst uns über diesen Punkt abstimmen.,vote
"die Abteilung, -en",Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.,the Department
"der Abwart, -e
die Abwartin, -nen (CH)
→ D, A: Hausmeister","Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.",the watchman
abwärts,Von dort führt der Weg abwärts ins Tal.,down
"abwaschen, wäscht ab, wusch ab, hat abgewaschen",Ich muss noch das Geschirr abwaschen.,wash off
abwesend,Herr Huber ist bis zum 25. April abwesend.,absent
"achten, achtet, achtete, hat geachtet (auf)","Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen.",regard
Achtung!,"Achtung, hier endet die Straße!",Danger!
"die Adresse, -n",Hast du schon meine neue Adresse?,the address
ähnlich,"1. Emilia ist in einer ganz ähnlichen Situation wie ich.
2. Oleg sieht seinem Bruder sehr ähnlich.",similar
die Ahnung,"Ich hatte keine Ahnung, dass du heute Geburtstag hast.",the hunch
"die Aktion, -en",Die Stadt sollte eine Aktion für Familien planen.,the action
aktiv,Ich bin sehr aktiv und mache viel Sport.,active
"die Aktivität, -en",In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.,the activity
aktuell,Umweltschutz ist ein aktuelles Thema.,current
"akzeptieren, akzeptiert, akzeptierte, hat akzeptiert",Ich kann diese Bedingungen nicht akzeptieren.,accept
"der Alarm, -e",Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.,the alarm
der Alkohol,"1. Du musst die Wunde mit Alkohol reinigen.
2. Nein, danke! Ich trinke keinen Alkohol.",the alcohol
all-,"1. Sind alle Kinder da?
2. Sonst noch (et)was? – Nein, danke. Das ist alles.
3. Alles Gute!",all-
allein,"1. Ich gehe nicht gern allein spazieren.
2. Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein.
3. Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet.",alone
aller-,"1. Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund.
2. Das ist das Allerschönste, was ich je gesehen habe.",all-
allerdings,"Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.",however
allgemein,"1. Wir haben nur über allgemeine Probleme gesprochen.
2. Es ist allgemein bekannt, dass man hier gut essen kann.
3. Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.",generally
der Alltag,"Das ist mein Alltag: putzen, waschen, kochen.",the everyday
alltäglich,"1. Das alltägliche Leben ist manchmal langweilig.
2. Der Roman erzählt eine ganz alltägliche Geschichte.",everyday
"das Alphabet, -e",Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?,the alphabet
als,"1. Als mein Mann kam, war die Party schon zu Ende.
2. Sie können sich sowohl persönlich als auch im Internet anmelden.
3. Meine Schwester ist älter als ich.
4. Es ist später, als ich dachte.",as
als ob,"Er tut so, als ob wir nie darüber gesprochen hätten.",as if
also,"1. Also, die Sache ist so: …
2. Irina hat Urlaub. Sie kann uns also helfen.
3. Also wirklich, jetzt reicht es.",so
alt,"1. Wie alt sind Sie?
2. Maria ist eine alte Freundin von mir.",old
das Alter,"1. Wir sind etwa im gleichen Alter.
2. Alter: 26 Jahre",the age
"das Altenheim, -e
→ Altersheim",Die Großeltern unserer Nachbarn sind im Altenheim.,the retirement home
"das Altersheim, -e
→ Altenheim",Die Großeltern unserer Nachbarn sind im Altersheim.,the retirement home
alternativ,Wir brauchen alternative Energien.,alternatively
"die Alternative, -n",Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.,the alternative
"die Ampel, -n",Dort an der Ampel kannst du über die Straße gehen.,the traffic light
"das Amt, ¨-er",Das Arbeitsamt befindet sich neben dem Busbahnhof.,the Office
"sich amüsieren, amüsiert sich, amüsierte sich, hat sich amüsiert",Bei dem Fest haben wir uns sehr gut amüsiert.,have fun
an,"1. Am Anfang war alles sehr schwierig.
2. Dann sehen wir uns also am Dienstag.
3. Ich warte am Bahnhof auf dich.
4. Am besten, du gehst zur Information und fragst da.
5. Das Licht war die ganze Nacht an.",to
"analysieren, analysiert, analysierte, hat analysiert",Die Politiker analysieren die Situation auf dem Arbeitsmarkt.,analyze
"anbieten, bietet an, bot an, hat angeboten",Darf ich Ihnen etwas zu trinken anbieten?,offer
"der Anbieter, -",Ist das ein privater Telefonanbieter?,the provider
"das Angebot, -e","1. Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen.
2. Der Käse ist heute im Angebot.",the offer
ander-,"1. Die anderen sind schon nach Hause gegangen.
2. Bitte nicht alle auf einmal! Einer nach dem anderen.
3. Ich hätte gern ein anderes Auto.
4. Natascha hat unter anderem Chinesisch und Spanisch gelernt.",at the-
andererseits,"Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.",on the other hand
"ändern, ändert, änderte, hat geändert","1. Das Wetter hat sich geändert.
2. Ich habe meine Meinung inzwischen geändert.",change
"die Änderung, -en",Es gibt eine Programmänderung.,the change
anders,"1. Anders geht das leider nicht.
2. Oliver ist anders als seine Freunde.
3. Ich würde das anders machen.",different
"anerkennen, erkennt an, erkannte an, hat anerkannt",Meine Ausbildung wird hier nicht anerkannt.,recognize
"anfangen, fängt an, fing an, hat angefangen","1. Wann fängst du mit der Arbeit an?
2. Hier fängt die Bahnhofstraße an.",begin
"der Anfang, ¨-e","1. Wie war der Film? – Ich habe nur den Anfang gesehen.
2. Am Anfang habe ich bei der Arbeit viele Fragen gestellt.
3. Mein Chef ist Anfang fünfzig.
4. Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe.
5. Wir machen Anfang Juli Ferien.
6. Meine Freundin wohnt am Anfang der Straße.",the beginning
anfangs,Anfangs ging alles gut.,initially
"angeben, gibt an, gab an, hat angegeben",Bitte geben Sie Ihre genaue Adresse an.,indicate
"die Angabe,-n","Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.",the information
"der Angehörige, -n
die Angehörige, -n",Der Arzt darf nur Familienangehörigen Auskunft geben.,the relative
angenehm,Wir wünschen Ihnen eine angenehme Reise.,pleasant
"die Angst, “-e","1. Du brauchst keine Angst zu haben. Der Hund tut dir nichts.
2. Ich habe Angst, vielleicht ist etwas passiert.",the fear
ängstlich,Meine Mutter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.,fearful
"anhaben, hat an, hatte an, hat angehabt",Gestern hatte Julia ein rotes Kleid an.,have on
"anklicken, klickt an, klickte an, hat angeklickt",Du musst das Bild anklicken. Dann wird es größer.,click
"ankommen, kommt an, kam an, ist angekommen","1. Wann kommt der Zug in Hamburg an?
2. Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen.",arrive
die Ankunft,"1. Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.
2. Gleich nach der Ankunft habe ich meine Eltern angerufen.",the arrival
"ankündigen, kündigt an, kündigte an, hat angekündigt",Wir sollten unseren Besuch ankündigen.,announce
"die Anlage, -n","1. Meine Musikanlage ist kaputt.
2. In der Anlage der E-Mail finden Sie meinen Lebenslauf.",the attachment
"die Anleitung, -en","In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.",the instructions
"anmelden, meldet an, meldete an, hat angemeldet",Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.,register
"die Anmeldung, -en","1. Wo bekomme ich die Formulare für die Anmeldung?
2. Die Anmeldung ist im Erdgeschoss, Zimmer 55.",the registration
"annehmen, nimmt an, nahm an, hat angenommen","1. Ich nehme Ihre Einladung gern an.
2. Ich nehme an, dass Sie mit dem Vorschlag einverstanden sind.",assume
"die Annonce, -n","Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.",the advertisement
"die Anrede, -n",Du darfst im Brief die Anrede nicht vergessen.,the salutation
"anrufen, ruft an, rief an, hat angerufen",Ich rufe Sie heute Abend an.,call
"der Anruf, -e",Ich warte auf einen Anruf aus Berlin.,the call
"der Anrufbeantworter, -",Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.,the answering machine
"die Ansage, -n",Achten Sie auf die Ansage am Bahnsteig.,the announcement
"anschaffen, schafft an, schaffte an, hat angeschafft",Wir haben uns neue Möbel angeschafft.,acquire
"anschließen, schließt an, schloss an, hat angeschlossen",Wo kann ich den Computer anschließen?,connect
"der Anschluss, ¨-e","1. In Mannheim haben Sie Anschluss nach Saarbrücken.
2. Ich brauche in meiner Wohnung einen Telefonanschluss.",the connection
"anschnallen, schnallt an, schnallte an, hat angeschnallt","Vergiss nicht, dich anzuschnallen.",buckle up
"ansehen, sieht an, sah an, hat angesehen","1. Warum siehst du mich so erschrocken an?
2. Darf ich eure Urlaubsfotos ansehen?",view
"ansprechen, spricht an, sprach an, hat angesprochen",Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.,address
"der Anspruch, ¨-e",Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.,the claim
"anstellen, stellt an, stellte an, hat angestellt","1. Können Sie bitte die Heizung anstellen?
2. Mein Schwager ist bei einer Möbelfirma angestellt.
3. Da vorne ist die Kasse. Du musst dich anstellen.",hire
"der Angestellte, -n
die Angestellte, -n",Björn ist Angestellter in einem Reisebüro.,the employee
"sich anstrengen, strengt sich an, strengte sich an, hat sich angestrengt","1. Diese Arbeit strengt mich sehr an.
2. Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen.",make an effort
anstrengend,Ich finde diese Arbeit sehr anstrengend.,stressful
"der Antrag, ¨-e",Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?,the application
"anwenden, wendet an, wandte an, hat angewandt/angewendet",Diese Salbe muss man dreimal am Tag anwenden.,apply
anwesend,Bei dem Treffen waren alle Mitglieder anwesend.,present
"antworten, antwortet, antwortete, hat geantwortet",Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.,answer
"die Antwort, -en",Leider habe ich keine Antwort bekommen.,the answer
"der Anwalt, ¨-e
die Anwältin, -nen",Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.,the lawyer
"anzeigen, zeigt an, zeigte an, hat angezeigt","Wenn Sie hier parken, zeige ich Sie an.",show
"die Anzeige, -n","1. Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer.
2. Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.",the ad
"(sich) anziehen, zieht an, zog an, hat angezogen","1. Du musst dich wärmer anziehen, sonst erkältest du dich.
2. Heute ziehe ich mein neues T-Shirt an.",(to get dressed
"der Anzug, ¨-e",Mein Mann hat sich einen neuen Anzug gekauft.,the suit
"das Apartment, -s",Wir haben ein Ferienapartment gemietet.,the apartment
"der Apfel, ¨-",Zum Frühstück esse ich jeden Tag einen Apfel.,the Apple
"die Apotheke, -n",Ist hier in der Nähe eine Apotheke?,the pharmacy
"der Apparat, -e","1. Können Sie den Apparat bitte etwas leiser stellen?
2. Wo ist mein Fotoapparat?",the apparatus
der Appetit,"1. Ich habe heute keinen Appetit. Ich mag nichts essen.
2. Auf was hast du Appetit? Vielleicht auf einen Salat?
3. Guten Appetit!",the appetite
"die Aprikose, -n (D, CH)
→ A: Marille",Schmecken dir die Aprikosen?,the apricot
"arbeiten, arbeitet, arbeitete, hat gearbeitet","1. Er arbeitet heute bis 16 Uhr.
2. Arzu arbeitet als Krankenschwester im Krankenhaus.",work
"die Arbeit, -en","1. Wie gefällt dir deine Arbeit?
2. Nach der Ausbildung hat Mohamed eine Arbeit gefunden.",the work
"der Arbeiter, -
die Arbeiterin, -nen",Maria ist seit zwei Jahren Arbeiterin bei Siemens.,the worker
die Arbeitserlaubnis,Haben Sie eine Arbeitserlaubnis?,the work permit
arbeitslos,Wie lange sind Sie schon arbeitslos?,unemployed
die Arbeitslosigkeit,Die Arbeitslosigkeit ist gesunken.,the unemployment
"der Arbeitsplatz, ¨-e",In der Industrie gibt es immer weniger Arbeitsplätze.,the workplace
"die Arbeitsstelle, -n",Meine Frau hat eine neue Arbeitsstelle gefunden.,the workplace
"der Architekt, -en
die Architektin, -nen",Dieses Haus hat eine berühmte Architektin gebaut.,the architect
"(sich) ärgern, ärgert, ärgerte, hat geärgert","1. Ärgern Sie sich nicht.
2. Mein Bruder hat mich schon als Kind immer geärgert.",(get angry
der Ärger,Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.,the anger
ärgerlich,Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.,annoying
arm,"1. Die Regierung hilft armen Nachbarländern.
2. Ich hätte gerne 200 g fettarmen Käse.",arm
"der Arm, -e",Mein Freund hat sich den Arm gebrochen.,the arm
"die Art, -en","1. Im Zoo haben sie 34 verschiedene Arten von Vögeln.
2. Seine Art gefällt mir nicht.
3. Man kann auf unterschiedliche Art und Weise ein Fest feiern.",the type
"der Artikel, -","1. Ich habe einen interessanten Artikel gelesen.
2. Im Deutschen gibt es drei Artikel: der, die, das.",the article
"der Arzt, ¨-e
die Ärztin, -nen","1. Ich muss heute zum Arzt.
2. Wann warst du beim Zahnarzt?",the doctor
das Asyl,Die Menschen sind auf der Flucht und bitten um Asyl.,the asylum
"atmen, atmet, atmete, hat geatmet",Er hat eine Erkältung und kann nicht durch die Nase atmen.,breathe
der Atem,Bitte den Atem anhalten.,the breath
auch,"1. Ich muss leider gehen. – Ich auch.
2. Ich arbeite die ganze Woche und muss auch am Wochenende arbeiten.
3. Wir fahren auf jeden Fall, auch wenn es regnet.
4. Der Zug ist gerade eben abgefahren. Warum kommst du auch so spät!",also
auf,"1. Deine Brille liegt auf dem Schreibtisch.
2. Die Kinder spielen unten auf der Straße.
3. Meine Eltern leben auf dem Land.
4. Gestern waren wir auf einer Party.
5. Auf unsere Anzeige in der Abendzeitung hat sich noch niemand gemeldet.
6. Wie heißt das auf Deutsch?
7. Meine Tochter kommt nächstes Jahr aufs Gymnasium. (D) (A, CH: ins)
8. Im Mai war ich auf Urlaub. (A) (D: in)
9. Ich bin schon seit zwei Stunden auf.
10. Komm herein, die Tür ist auf. (D) (A, CH: offen)",on
"der Aufenthalt, -e","1. Der Zug hat in München nur 20 Minuten Aufenthalt.
2. Wir wünschen Ihnen einen angenehmen Aufenthalt.",the stay
"auffallen, fällt auf, fiel auf, ist aufgefallen","Mir ist aufgefallen, dass Harriett ganz blass ist.",stand out
"auffordern, fordert auf, forderte auf, hat aufgefordert","1. Sie forderte mich auf, meine Meinung zu sagen.
2. Er fordert sie zum Tanz auf.",request
"die Aufforderung, -en","Sie erhalten eine Aufforderung, den Betrag bis Juni zu zahlen.",the request
"aufführen, führt auf, führte auf, hat aufgeführt",Die Kinder führen zu Weihnachten ein Theaterstück auf.,perform
"die Aufgabe, -n","1. Hast du deine Hausaufgaben für die Schule schon gemacht?
2. Das ist nicht meine Aufgabe.",the task
"aufgeben, gibt auf, gab auf, hat aufgegeben","1. Ich habe auf der Post ein Paket aufgegeben.
2. Man darf nie aufgeben. Es gibt immer eine Hoffnung.",give up
"aufhalten, hält auf, hielt auf, hat aufgehalten","1. Wo hält er sich gerade auf? – In München.
2. Darf ich Ihnen die Tür aufhalten?
3. Entschuldigen Sie die Verspätung, ich wurde aufgehalten.",stop
"aufheben, hebt auf, hob auf, hat aufgehoben","1. Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf.
2. Die Quittung müssen Sie gut aufheben.",lift
"aufhören, hört auf, hörte auf, hat aufgehört","1. Es hört nicht auf zu schneien.
2. Wann hört ihr mit der Arbeit auf?
3. Hier hört die Hauptstraße auf.",stop
"aufladen, lädt auf, lud auf, hat aufgeladen",Ich muss mein Telefon aufladen. Die Batterie ist leer.,charge
"auflösen, löst auf, löste auf, hat aufgelöst",Die Tablette bitte in Wasser auflösen.,dissolve
aufmerksam,"1. Die Schülerin hörte aufmerksam zu.
2. Ich mache Sie darauf aufmerksam, dass wir in einer halben Stunde schließen.",attentive
"aufnehmen, nimmt auf, nahm auf, hat aufgenommen","1. Wir haben Aneta in unseren Verein aufgenommen.
2. Ich habe den Film im Urlaub aufgenommen.",to record
"die Aufnahme, -n",Bitte seid leise! – Ich starte die Aufnahme.,the recording
"aufpassen, passt auf, passte auf, hat aufgepasst","1. Tut mir leid. Da habe ich wohl nicht aufgepasst.
2. Ich muss zu Hause bleiben und auf die Kinder aufpassen.",watch out
"aufräumen, räumt auf, räumte auf, hat aufgeräumt",Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.,clean up
"aufregen, regt auf, regte auf, hat aufgeregt","1. Es regt mich auf, dass ich schon wieder Überstunden machen muss.
2. Ganz ruhig! Bitte regen Sie sich nicht auf.
3. Heute hast du eine Prüfung. Bist du schon aufgeregt?
4. Die Musikgruppe zu erleben war sehr aufregend.",excite
"aufstehen, steht auf, stand auf, ist aufgestanden","1. Ich stehe jeden Morgen um sechs Uhr auf.
2. Sie brauchen nicht aufzustehen. Sie können sitzen bleiben.",stand up
"der Auftrag, ¨-e","1. Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief geben.
2. Im Moment hat die Firma besonders viele Aufträge.",the order
"auftreten, tritt auf, trat auf, ist aufgetreten",Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.,appear
"der Auftritt, -e",Nach dem Auftritt feiern die Musiker.,the appearance
"aufwachen, wacht auf, wachte auf, ist aufgewacht",Von dem Lärm bin ich aufgewacht.,wake up
aufwärts,"1. Sie müssen gute Schuhe anziehen. Der Weg geht immer aufwärts.
2. In letzter Zeit geht es wieder aufwärts mit der Wirtschaft.",upwards
"der Aufzug, ¨-e (D, A)
→ Lift",Im Büro ist leider der Aufzug kaputt.,the elevator
"das Auge, -n",Meine beiden Kinder haben blaue Augen.,the eye
"der Augenblick, -e","1. Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen.
2. Einen Augenblick, bitte!
3. Im Augenblick sind keine Plätze frei.",the moment
aus,"1. Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus.
2. Frau Özgen kommt aus der Türkei.
3. Die Möbel sind noch aus der Zeit um 1900.
4. Ich trage nur Pullover aus reiner Wolle.
5. Wir haben aus Liebe geheiratet.
6. Wann ist der Kurs aus?
7. Ich seh‘ nichts! Das Licht ist aus!",out of
"die Ausbildung, -en","1. Ich habe meine Ausbildung abgeschlossen.
2. Mit deiner guten Ausbildung findest du sicher eine Arbeit.",the training
ausgebildet,Für diesen Beruf müssen Sie gut ausgebildet sein.,trained
"ausdrucken, druckt aus, druckte aus, hat ausgedruckt",Kann ich das auf deinem Drucker ausdrucken?,print
"der Ausdruck, ¨-e",1. Diesen Ausdruck habe ich noch nie gehört.,the expression
"der Ausdruck, -e",2. Machen Sie doch bitte einen Ausdruck von der E-Mail.,the expression
auseinander,Wir wohnen nicht weit auseinander.,apart
"die Ausfahrt, -en","1. Hier ist eine Ausfahrt, da dürfen Sie nicht parken.
2. Wie weit ist es noch bis zur Ausfahrt Freiburg?",the exit
"ausfallen, fällt aus, fiel aus, ist ausgefallen",Nächste Woche fällt der Kurs aus.,stand out
"der Ausflug, ¨-e",Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.,the excursion
"ausfüllen, füllt aus, füllte aus, hat ausgefüllt",Füllen Sie bitte dieses Formular aus!,fill out
"die Ausgabe, -n","1. Wie hoch sind Ihre Ausgaben in einem Monat?
2. Wo ist die Essensausgabe?
3. In welchem Buch hast du das gelesen? In welcher Ausgabe?",the output
"der Ausgang, ¨-e",Wo ist der Ausgang bitte?,the exit
"ausgeben, gibt aus, gab aus, hat ausgegeben",Carola gibt viel Geld für ihr Hobby aus.,spend
"ausgehen, geht aus, ging aus, ist ausgegangen","1. Plötzlich ist das Licht ausgegangen.
2. Gehen wir heute Abend aus?
3. Wie ist das Spiel ausgegangen?",go out
ausgezeichnet,Essen und Unterkunft waren ausgezeichnet.,excellent
"die Aushilfe, -n",Wir suchen eine freundliche Aushilfe für unser Geschäft.,the temporary help
"die Auskunft, ¨-e","1. Ich hätte gern eine Auskunft.
2. Die Firma hat eine neue Nummer. Bitte, rufen Sie die Auskunft an.",the information
das Ausland,Wir fahren im Urlaub meistens ins Ausland.,the foreign country
"der Ausländer, -
die Ausländerin, -nen",Viele Ausländer und Ausländerinnen lernen in der Volkshochschule Deutsch.,the foreigner
ausländisch,Die ausländischen Studenten müssen zuerst einen Deutschkurs besuchen.,foreign
"ausmachen, macht aus, machte aus, hat ausgemacht","1. Sie müssen leider warten. – Kein Problem. Das macht mir nichts aus.
2. Machen Sie bitte das Licht aus!
3. Wir hatten doch ausgemacht, dass du die Getränke besorgst.
4. Haben Sie einen Termin ausgemacht?",turn off
"die Ausnahme, -n",Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme.,the exception
"ausreichen, reicht aus, reichte aus, hat ausgereicht","1. Das Geld muss bis März ausreichen.
2. Seine Kenntnisse reichen für diese Arbeit aus.",sufficient
ausreichend,Das Geld ist für die Reise ausreichend.,sufficient
"ausrichten, richtet aus, richtete aus, hat ausgerichtet",Mein Mann ist nicht da. Soll ich ihm etwas ausrichten?,align
"(sich) ausruhen, ruht aus, ruhte aus, hat ausgeruht","1. Sie ruhen sich von der Arbeit aus.
2. Bist du gut ausgeruht?",(rest
"ausschließen, schließt aus, schloss aus, hat ausgeschlossen","1. Das kann man nicht ganz ausschließen.
2. So viel kann ich nicht bezahlen. Das ist völlig ausgeschlossen.",exclude
ausschließlich,Tut mir leid. Wir haben ausschließlich Nichtraucherzimmer.,exclusively
"aussehen, sieht aus, sah aus, hat ausgesehen","1. Sie sehen wieder besser aus. Sind Sie wieder gesund?
2. Er sieht genauso aus wie sein Vater.
3. Es sieht so aus, als ob es bald regnen würde.",look
außen,"1. Wir haben das Schloss nur von außen gesehen.
2. Außen ist das Haus nicht sehr schön.",outside
außerhalb,Wir wohnen außerhalb von Berlin.,outside
äußerlich,Das Medikament dürfen Sie nur äußerlich anwenden.,externally
außer,"1. Außer Lisa hat sich niemand um die Stelle beworben.
2. Der Aufzug ist außer Betrieb.
3. Wir haben täglich außer Samstag geöffnet.",except
außerdem,"1. Möchten Sie außerdem noch etwas?
2. Der Film war langweilig, und außerdem haben die Schauspieler schlecht gespielt.",aside from that
"die Aussicht, -en","1. Von diesem Turm hat man eine tolle Aussicht.
2. Mit mehreren Fremdsprachen hat man gute Aussichten im Beruf.",the view
"aussprechen, spricht aus, sprach aus, hat ausgesprochen",Wie spricht man dieses Wort aus?,express
die Aussprache,Ali hat eine gute Aussprache.,the pronunciation
"ausstellen, stellt aus, stellte aus, hat ausgestellt","1. Im Schaufenster sind Winterschuhe ausgestellt.
2. Das Zeugnis wird bis nächste Woche ausgestellt.",exhibit
"die Ausstellung, -en","1. Wir waren mit der Lehrerin in einer Ausstellung.
2. Die Ausstellung eines neuen Passes dauert zwei Wochen.",the exhibition
"(sich etwas) aussuchen, sucht aus, suchte aus, hat ausgesucht",Such dir etwas Schönes aus! Ich lade dich ein.,choose (something).
"auswählen, wählt aus, wählte aus, hat ausgewählt",Für die Aufgabe können Sie aus drei Themen auswählen.,choose
"die Auswahl, -en","1. Wir müssen eine Auswahl aus den Büchern treffen.
2. Das Geschäft hat eine große Auswahl.",the selection
"der Ausweis, -e",Darf ich mal Ihren Ausweis sehen?,the ID card
"ausziehen, zieht aus, zog aus, hat/ist ausgezogen","1. Willst du den Mantel nicht ausziehen?
2. Müllers sind schon vor vier Wochen ausgezogen.",get undressed
"das Auto, -s",Mario fährt mit dem Auto zur Arbeit.,the car
"die Autobahn, -en",Das Dorf liegt direkt an der Autobahn.,the highway
"der Automat, -en","1. Zigaretten bekommst du am Automaten.
2. Der Fahrkartenautomat ist auf dem Bahnsteig.",the machine
automatisch,"1. Die Tür schließt automatisch.
2. Das Zeugnis bekommen Sie automatisch zugeschickt.",automatically
"der Autor, -en
die Autorin, -nen",Diese Autorin hat in diesem Jahr schon zwei Bücher geschrieben.,the author
"backen, bäckt/backt, backte, hat gebacken","Wenn du kommst, backe ich einen Kuchen.",bake
"die Bäckerei, -en",Wir kaufen unser Brot immer in der Bäckerei am Markt.,the bakery
"baden, badet, badete, hat gebadet","1. Wenn du baden möchtest: Das Badezimmer ist dort hinten links.
2. Hier ist Baden verboten!",bathe
"das Bad, ¨-er","1. Nach einem warmen Bad fühlt man sich gleich viel besser.
2. Ich möchte ein Zimmer mit Bad.",the bathroom
