German,English
ausdrucken,print
der Ausdruck,the expression
der Ausdruck,the expression
auseinander,apart
die Ausfahrt,the exit
ausfallen,stand out
der Ausflug,the excursion
ausfüllen,fill out
die Ausgabe,the output
der Ausgang,the exit
ausgeben,spend
ausgehen,go out
ausgezeichnet,excellent
die Aushilfe,the temporary help
die Auskunft,the information
das Ausland,the foreign country
der Ausländer,the foreigner
ausländisch,foreign
ausmachen,turn off
die Ausnahme,the exception
ausreichen,sufficient
ausreichend,sufficient
ausrichten,align
(sich) ausruhen,(rest
ausschließen,exclude
ausschließlich,exclusively
aussehen,look
außen,outside
außerhalb,outside
äußerlich,externally
außer,except
außerdem,aside from that
die Aussicht,the view
aussprechen,express
die Aussprache,the pronunciation
ausstellen,exhibit
die Ausstellung,the exhibition
(sich etwas) aussuchen,choose (something).
auswählen,choose
die Auswahl,the selection
der Ausweis,the ID card
ausziehen,get undressed
das Auto,the car
die Autobahn,the highway
der Automat,the machine
automatisch,automatically
der Autor,the author
backen,bake
die Bäckerei,the bakery
baden,bathe
das Bad,the bathroom
die Badewanne,the bathtub
die Bahn,the train
S-Bahn,S-Bahn
die Straßenbahn,the tram
die U-Bahn,the subway
der Bahnhof,the station
der Bahnsteig,the platform
bald,soon
der Balkon,the balcony
der Ball,the ball
das Ballett,the ballet
die Banane,the banana
die Bank,the Bank
die Bank,the Bank
der Bancomat/Bankomat,the ATM/ATM
die Bankleitzahl,the bank sort number
die Bankomat-Karte,the ATM card
die Bar,the bar
bar,bear
das Bargeld,the cash
der Bart,the beard
der Basketball,the basketball
basteln,craft
die Batterie,the battery
der Bauch,the stomach
bauen,build
der Bau,the construction
die Baustelle,the construction site
der Bauer,the farmer
der Baum,the tree
beachten,observe
der Beamte,the official
beantragen,apply for
beantworten,answer
sich bedanken,to thank
der Bedarf,the need
bedeuten,mean
die Bedeutung,the meaning
bedienen,serve
die Bedienungsanleitung,the operating instructions
die Bedingung,the condition
sich beeilen,hurry up
beenden,finish
sich befinden,to find oneself
befreit,freed
befriedigend,satisfactory
begegnen,encounter
begeistert,enthusiastic
beginnen,start
der Beginn,the beginning
begleiten,accompany
begrenzt,limited
begründen,justify
die Begründung,the justification
begrüßen,greet
behalten,keep
behandeln,treat
behaupten,claim
behindern,hinder
die Behörde,the authority
bei,at
beid-,both-
das Bein,the leg
beinahe,almost
das Beispiel,the example
beißen,bite
der Beitrag,the contribution
bekannt,known
der Bekannte,the acquaintance
bekannt geben,announce
bekommen,receive
der Beleg,the receipt
beleidigen,insult
beliebt,popular
bemerken,notice
sich bemühen,make an effort
benötigen,need
benutzen,use
das Benzin,the gasoline
beobachten,observe
bequem,comfortable
beraten,advise
die Beratung,the advice
berechnen,calculate
der Bereich,the area
bereit,ready
bereits,already
der Berg,the mountain
berichten,report
der Bericht,the report
der Beruf,the job
beruflich,professionally
berufstätig,employed
beruhigen,calm
berühmt,famous
beschädigen,damage
beschäftigen,occupy
die Beschäftigung,the employment
der Bescheid,the notice
Bescheid sagen,let me know
Bescheid geben,Let me know
beschließen,decide
beschränken,restrict
beschreiben,describe
die Beschreibung,the description
sich beschweren,complain
besetzen,occupy
besichtigen,view
besitzen,own
besonder-,special-
besonders,particularly
besorgen,obtain
besprechen,discuss
die Besprechung,the meeting
die Besserung,the improvement
bestätigen,confirm
die Bestätigung,the confirmation
bestehen,consist
bestellen,order
bestimmt,certainly
bestrafen,punish
besuchen,visit
der Besuch,the visit
sich beteiligen,participate
der Betrag,the amount
betreuen,look after
der Betreuer,the supervisor
die Betreuung,the care
der Betrieb,the operation
der Betriebsrat,the works council
betrügen,deceive
betrunken,drunk
das Bett,the bed
die Bevölkerung,the population
bevor,before
bewegen,move
die Bewegung,the movement
beweisen,prove
der Beweis,the proof
sich bewerben,apply
die Bewerbung,the application
der Bewohner,the resident
bezahlen,pay
die Beziehung,the relationship
die Bibliothek,the library
das Bier,the beer
bieten,offer
das Bild,the picture
der Bildschirm,the screen
das Billett,the ticket
billig,cheap
die Biologie,the biology
Bio-,organic
bio(logisch),organic(logical)
die Birne,the pear
bis,until
bisher,until now
ein bisschen,a little bit
bitten,ask
die Bitte,the request
bitte,please
bitter,bitter
blass,pale
das Blatt,the leaf
bleiben,remain
der Bleistift,the pencil
der Blick,the view
blind,blind
blitzen,flash
der Blitz,the lightning
blond,blond
bloß,just
blühen,bloom
die Blume,the flower
die Bluse,the blouse
bluten,bleed
das Blut,the blood
der Boden,the floor
der Bogen,the bow
die Bohne,the bean
das Boot,the boat
die Botschaft,the message
böse,evil
braten,fry
der Braten,the roast
brauchen,need
brechen,break
breit,broad
die Breite,the width
bremsen,brake
die Bremse,the brake
brennen,burn
der Brief,the letter
der Briefkasten,the mailbox
die Briefmarke,the stamp
der Briefträger,the postman
der Briefumschlag,the envelope
die Brieftasche,the wallet
die Brille,the glasses
bringen,bring
die Broschüre,the brochure
das Brot,the bread
das Brötchen,the bread bun
das Brötli,the bread roll
die Brücke,the bridge
der Bruder,the brother
die Brust,the chest
der Bub,the boy
das Buch,the book
die Buchhandlung,the bookstore
buchen,book
buchstabieren,spell
der Buchstabe,the letter
die Büchse,the can
das Buffet,the buffet
die Bühne,the stage
bunt,colorful
die Burg,the castle
der Bürger,the citizen
das Büro,the office
die Bürste,the brush
die Zahnbürste,the toothbrush
der Bus,the bus
die Butter,the butter
das Café,the cafe
die Cafeteria,the cafeteria
die Chance,the chance
der Chef,the boss
chic/schick,chic/chic
der Coiffeur,the hairdresser
die Couch,the couch
die Creme,the cream
der Cousin,the cousin
das Couvert,the envelope
da,there
dabei,included
das Dach,the roof
dafür,for that
dagegen,against it
daher,therefore
dahin,there
damals,at that time
die Dame,the lady
damit,with it
danach,thereafter
daneben,next to it
danken,thank
der Dank,the thanks
dankbar,thankful
danke,Thanks
dann,then
darstellen,represent
die Darstellung,the representation
dass,that
die Datei,the file
das Datum,the date
die Daten (Plural),the data (plural)
dauern,last
die Dauer,the duration
dauernd,constantly
die Decke,the ceiling
dekorieren,decorate
denken,think
der Gedanke,the thought
das Denkmal,the monument
denn,because
derselbe,same
deshalb,for this reason
das Dessert,the dessert
deswegen,because of this
das Detail,the detail
deutlich,clearly
die Diät,the diet
der Dialekt,the dialect
der Dialog,the dialogue
dicht,close
dick,thick
der Dieb,the thief
dienen,serve
der Dienst,the service
dies-,this-
diesmal,this time
digital,digital
das Ding,the thing
das Diplom,the diploma
direkt,direct
der Direktor,the director
die Diskothek,the discotheque
diskutieren,discuss
die Diskussion,the discussion
die Distanz,the distance
doch,but
der Doktor,the doctor
das Dokument,the document
donnern,thunder
der Donner,the thunder
doppelt,double
Doppel-,double
das Dorf,the village
dort,there
dorthin,there
die Dose,the tin
draußen,outside
der Dreck,the dirt
drehen,turn
dringend,urgent
drin,inside
die Droge,the drug
die Drogerie,the drugstore
drüben,over
drucken,press
der Drucker,the printer
drücken,press
der Druck,the pressure
dumm,dumb
dunkel,dark
dünn,thin
durch,through
durcheinander,mixed up
die Durchsage,the announcement
der Durchschnitt,the average
durchschnittlich,average
dürfen,may
der Durst,the thirst
durstig,thirsty
(sich) duschen,(take a shower
die Dusche,the shower
duzen,first name
eben,even
ebenfalls,also
ebenso,as well
"die e-card (A)
→ D: die Versichertenkarte","the e-card (A)
→ D: the insurance card"
echt,real
"die ec-Karte/EC-Karte
→ A: Bankomat-Karte","the EC card/EC card
→ A: ATM card"
die Ecke,the corner
das Eck,the corner
eckig,square
egal,doesn't matter
die Ehe,the marriage
die Ehefrau,the wife
das Ehepaar,the couple
eher,rather
ehrlich,honest
das Ei,the egg
eigen-,own
eigentlich,actually
sich eignen,are suitable
eilen,rush
die Eile,the rush
eilig,hurry
ein-,a-
die Einbahnstraße,the one-way street
einbrechen,break in
der Einbrecher,the burglar
der Einbruch,the break-in
eindeutig,clearly
der Eindruck,the impression
einerseits,on the one hand
einfach,simply
die Einfahrt,the entrance
einfallen,come up
der Einfall,the idea
der Einfluss,the influence
beeinflussen,influence
einfügen,insert
einführen,introduce
die Einführung,the introduction
der Eingang,the entrance
einheitlich,uniform
einig-,agree-
sich einigen,agree
einkaufen,shopping
der Einkauf,the purchase
das Einkommen,the income
einladen,invite
die Einladung,the invitation
einmal,once
einnehmen,take
die Einnahme,the intake
einpacken,pack up
einrichten,furnish
die Einrichtung,the facility
einsam,lonely
einschalten,turn on
einschließlich,including
das Einschreiben,the registered letter
einsetzen,insert
einsteigen,get in
einstellen,set
eintragen,register
eintreten,enter
der Eintritt,the entry
einverstanden,agreed
der Einwohner,the residents
einzahlen,deposit
die Einzahlung,the deposit
einzeln,individually
Einzel-,single
die Einzelheit,the detail
einzig-,only-
einziehen,move in
das Eis,the ice cream
das Eis (D,the ice (D
die Eisenbahn,the railway
elegant,elegant
elektrisch,electric
Elektro-,electrical
elektronisch,electronically
die Eltern (Pl.),the parents (pl.)
empfangen,received
der Empfang,the reception
der Empfänger,the recipient
empfehlen,recommend
die Empfehlung,the recommendation
enden,end
das Ende,the end
endgültig,finally
endlich,finally
die Energie,the energy
eng,closely
der Enkel,the grandson
entdecken,discover
entfernen,remove
die Entfernung,the distance
entgegenkommen,accommodate
enthalten,contain
entlang,along
entlassen,dismissed
die Entlassung,the dismissal
entscheiden,decide
die Entscheidung,the decision
unentschieden,draw
sich entschließen,decide
entschlossen,determined
entschuldigen,excuse
die Entschuldigung,the apology
entsorgen,dispose
entspannend,relaxing
entstehen,arise
enttäuschen,disappoint
die Enttäuschung,the disappointment
entweder ... oder,either ... or
entwickeln,develop
die Entwicklung,the development
die Erde,the earth
der Erdapfel,the potato
das Erdgeschoss/ Ergeschoß,the ground floor/first floor
das Ereignis,the event
sich ereignen,occur
erfahren,experience
die Erfahrung,the experience
erfinden,invent
die Erfindung,the invention
der Erfolg,the success
erfolgreich,successful
erforderlich,necessary
erfordern,require
erfüllen,fulfill
ergänzen,add to
das Ergebnis,the result
erhalten,receive
erhöhen,increase
die Erhöhung,the increase
sich erholen,to recover
die Erholung,the recovery
erinnern,remember
die Erinnerung,the memory
sich erkälten,catch a cold
erkältet,caught a cold
die Erkältung,the cold
erkennen,recognize
erklären,explain
die Erklärung,the explanation
sich erkundigen,inquire
erlauben,allow
die Erlaubnis,the permission
erleben,experience
das Erlebnis,the experience
erledigen,complete
erleichtern,facilitate
die Ermäßigung,the discount
ernähren,feed
die Ernährung,the diet
ernst,serious
ernsthaft,seriously
die Ernte,the harvest
eröffnen,open
die Eröffnung,the opening
erreichen,to reach
erschöpft,exhausted
erschrecken,scare
ersetzen,substitute
der Ersatz,the replacement
erst,first
erst-,first-
erstellen,create
erwachsen,adult
der Erwachsene,the adult
erwarten,expect
erzählen,tell
die Erzählung,the narrative
erziehen,educate
die Erziehung,the education
es,it
essen,eat
das Essen,the food
der Essig,the vinegar
die Etage,the floor
etwa,approximately
etwas,something
eventuell,possibly
ewig,forever
der Experte,the expert
der Export,the export
extra,extra
extrem,extreme
die Fabrik,the factory
das Fach,the subject
"der Fachmann
die Fachfrau","the expert
the specialist"
die Fachleute (Pl.),the experts (pl.)
die Fähigkeit,the ability
fahren,drive
die Fähre,the ferry
die Fahrbahn,the roadway
der Fahrer,the driver
die Fahrkarte,the ticket
der Fahrplan,the timetable
das Fahrrad,the bike
das Fahrzeug,the vehicle
fair,fair
der Faktor,the factor
der Fall,the case
fallen,fall
fällig,due
falls,if
falsch,incorrect
die Familie,the family
der Familienstand (D,marital status (D
fangen,catch
die Fantasie/Phantasie,the fantasy/fantasy
fantastisch,fantastic
die Farbe,the color
farbig,colored
"das Faschierte (A)
→ D","the minced meat (A)
→ D"
der Fasching,the carnival
"die Fasnacht (CH)
→ D","carnival (CH)
→ D"
fassen,grasp
fast,almost
faul,lazy
faulenzen,laze around
der Fauteuil,the armchair
fehlen,miss
der Fehler,the error
feiern,celebrate
die Feier,the party
der Feierabend,the end of the day
der Feiertag,the holiday
das Feld,the field
das Fenster,the window
"die Ferien (Pl.) (CH)
→ D","the holidays (pl.) (CH)
→ D"
Ferien-,Holidays-
die Fernbedienung,the remote control
fernsehen,TV
das Fernsehen,the television
der Fernseher,the TV
fertig,complete
fest,firmly
das Fest,the party
die Festplatte,the hard drive
festhalten,hold onto
festlegen,establish
festnehmen nimmt fest,arrest arrests
festsetzen,fix
feststehen,stand firm
feststellen,notice
fett,fat
das Fett,the fat
feucht,moist
das Feuer,the fire
das Feuerzeug,the lighter
die Feuerwehr,the fire department
das Fieber,the fever
die Figur,the figure
der Film,the film
finanzieren,finance
finanziell,financially
finden,find
der Finger,the finger
die Firma,the Company
flach,flat
die Fläche,the area
die Flasche,the bottle
der Fleck,the stain
das Fleisch,the meat
der Fleischhauer,the butcher
fleißig,diligent
flexibel,flexible
fliegen,fly
fliehen,flee
die Flucht,the escape
fließen,flow
fließend,fluent
der Flohmarkt,the flea market
der Flug,the flight
der Flughafen,the airport
das Flugzeug,The plane
der Flur,the corridor
der Fluss,the river
die Flüssigkeit,the liquid
folgen,consequences
die Folge,the consequence
folgend,following
fordern,demand
die Forderung,the requirement
fördern,support financially
die Förderung,the funding
die Form,the shape
das Formular,the form
die Forschung,the research
die Fortbildung,the training
der Fortschritt,the progress
fortsetzen,continue
die Fortsetzung,the sequel
das Forum,the forum
fotografieren,photograph
das Foto,the photo
der Fotoapparat,the camera
der Fotograf,the photographer
die Fotografie,the photography
fragen,questions
die Frage,the question
die Frau,the woman
frech,cheeky
frei,free
im Freien,outdoors
die Freiheit,the freedom
die Freizeit,the free time
freiwillig,voluntarily
fremd,foreign
fressen,eat
sich freuen,rejoice
die Freude,the joy
der Freund,the friend
freundlich,friendly
die Freundschaft,the friendship
der Friede,the peace
frieren,freeze
frisch,fresh
der Friseur,the hairdresser
die Frisur,the hairstyle
die Frist,the deadline
froh,glad
fröhlich,cheerful
die Frucht,the fruit
"Früchte (CH)
→ D","Fruits (CH)
→ D"
früh,early
früher/früher-,earlier/earlier-
frühstücken,have breakfast
das Frühstück,the breakfast
fühlen,feel
führen,lead
der Führerausweis,the driver's license
der Führerschein,the driver's license
die Führung,the leadership
das Fundbüro,the lost and found office
funktionieren,function
für,for
furchtbar,terrible
(sich) fürchten,(to be afraid
der Fuß,the foot
der Fußball,the football
der Fußgänger,the pedestrian
die Fußgängerzone,the pedestrian zone
füttern,feed
die Gabel,the fork
die Galerie,the gallery
der Gang,the aisle
ganz,quite
gar,even
die Garage,the garage
garantieren,guarantee
die Garantie,the guarantee
die Garderobe,the wardrobe
der Garten,the garden
das Gas,the gas
der Gast,the guest
das Gasthaus,the inn
die Gaststätte,the restaurant
geben,give
das Gebäck,the pastries
das Gebiet,the area
das Gebirge,the mountains
geboren werden,to be born
gebrauchen,use
die Gebrauchsanweisung,the instructions for use
die Gebühr,the fee
die Geburt,the birth
der Geburtstag,the birthday
das Gedicht,the poem
die Geduld,the patience
geehrt,honored
geeignet,suitable
die Gefahr,the danger
gefährlich,dangerous
gefallen,fallen
sich etwas gefallen lassen,to put up with something
das Gefängnis,the prison
das Gefühl,the feeling
gegen,against
der Gegner,the opponent
die Gegend,the area
der Gegensatz,the opposite
der Gegenstand,the object
das Gegenteil,the contrary
gegenüber,opposite
das Gehalt,the salary
das Geheimnis,the secret
geheim,secret
gehen,go
gehören,belong
der Gehsteig (D,the sidewalk (D
das Geld,the money
der Geldautomat,the ATM
die Geldbörse,the wallet
die Gelegenheit,the opportunity
gelingen,succeed
gelten,apply
gemeinsam,together
die Gemeinschaft,the community
das Gemüse,the vegetable
gemütlich,cozy
genau,Exactly
genauso,just as
genehmigen,to permit
die Generation,the generation
genießen,enjoy
genug,enough
genügen,suffice
das Gepäck,the luggage
gerade,straight
geradeaus,straight ahead
das Gerät,the device
gerecht,just
das Gericht,the court
gering,small amount
gern/gerne,gladly/gladly
gesamt-/Gesamt-,total/total
das Geschäft,the business
geschehen,happen
das Geschenk,the gift
die Geschichte,the story
geschieden,divorced
das Geschirr,the dishes
das Geschlecht,the gender
der Geschmack,the taste
die Geschwindigkeit,the speed
die Geschwindigkeitsbeschränkung,the speed limit
die Geschwister (Pl.),the siblings (pl.)
die Gesellschaft,the society
das Gesetz,the law
das Gesicht,the face
gespannt,tense
das Gespräch,the conversation
gestern,yesterday
gesund,healthy
die Gesundheit,the health
das Getränk,the drink
die Gewalt,the violence
die Gewerkschaft,the union
das Gewicht,the weight
gewinnen,win
der Gewinn,the profit
das Gewissen,the conscience
das Gewitter,the thunderstorm
gewöhnen,get used to
die Gewohnheit,the habit
gewohnt,used
gewöhnlich,usually
das Gewürz,the spice
gießen,pour
das Gift,the poison
giftig,poisonous
die Gitarre,the guitar
die/das Glace/Glacé,the ice cream/ice cream
das Glas,the glass
glatt,smooth
glauben,believe
gleich,even
gleichfalls,same to you
gleichberechtigt,equal
gleichzeitig,at the same time
das Gleis,the track
das Glück,the happiness
glücklich,happy
der Glückwunsch,the congratulations
das Gold,the gold
Golf,golf
der Gott,the god
die Grafik,the graphic
das Gras,the grass
gratulieren,congratulate
die Gratulation,the congratulations
gratis,free
greifen,grab
die Grenze,the border
grillen,grill
grillieren,grill
der Grill,the grill
die Grippe,the flu
groß,large
Groß-,Large-
die Größe,the size
gründen,found
der Grund,the reason
gründlich,thorough
das Grundstück,the property
die Gruppe,the group
grüßen,greet
der Gruß,the greeting
gucken,look
gültig,valid
günstig,cheap
gut,good
die Gymnastik,the gymnastics
das Haar,the hair
haben,have
das Hackfleisch (D,the minced meat (D
der Hafen,the port
hageln,hail
das Hähnchen/Hühnchen,the chicken/chicken
halb,half
die Halbpension,the half board
halbtags,half day
die Hälfte,the half
die Halle,the hall
das Hallenbad,the indoor swimming pool
hallo,Hello
der Hals,the neck
halt,stop
haltbar,durable
halten,hold
der Halt,the stop
die Haltestelle,the bus stop
der Hammer,the hammer
die Hand,the hand
der Handwerker,the craftsman
handeln,act
der Handel,the trade
der Händler,the dealer
das Handy,the phone
hängen,hang
hart,hard
hassen,hate
hässlich,ugly
häufig,frequently
die Hauptstadt,the capital
der Hauptbahnhof,the main station
das Haus,the house
die Hausaufgabe,the homework
"die Hausfrau
der Hausmann","the housewife
the househusband"
der Haushalt,the household
der Hausmeister,the caretaker
die Haut,the skin
heben,lift
das Heft,the booklet
heim,home
das Heim,the home
die Heimat,the homeland
heimlich,secretly
das Heimweh,the homesickness
heiraten,marry
heiß,hot
heißen,be called
heizen,heat
die Heizung,the heating system
der Held,the hero
helfen,help
die Hilfe,the help
hell,bright
das Hemd,the shirt
das Hend(e)l,the chicken
her/her-,her/her-
heraus-,out of here-
die Herausforderung,the challenge
der Herd,the stove
herein-,in-
die Herkunft,the origin
der Herr,the Lord
herstellen,produce
der Hersteller,the manufacturer
herunter-,down-
(herunter-)fahren,(shut down).
das Herz,the heart
herzlich,heartfelt
heute,today
heutig-,today-
hier/hier-,here/here-
hierher,here
der Himmel,the sky
(hinunter) runterwerfen,to throw down (down).
hinten,rear
hinter/hinter-,behind/behind-
hinterlassen,leave behind
hinterher,afterwards
hinweisen,point out
der Hinweise,of the clues
historisch,historical
die Hitze,the heat
das Hobby,the hobby
hoch,high
die Höhe,the height
hochladen,upload
höchstens,at most
die Hochzeit,the wedding
der Hof,the yard
der Bauernhof,the farm
hoffen,hope
hoffentlich,hopefully
die Hoffnung,the hope
höflich,polite
holen,fetch
das Holz,the wood
der Honig,the honey
hören,hear
der Hörer,the listener
die Hose,the pants
das Hotel,the hotel
hübsch,pretty
der Hügel,the hill
der Humor,the humor
der Hunger,the hunger
hungrig,hungry
hupen,honk
husten,cough
der Husten,the cough
der Hut,the hat
die Hütte,the hut
ideal,ideal
die Idee,the idea
illegal,illegal
der Imbiss,the snack
immer,always
der Import,the import
in,in
indem,by
individuell,individually
die Industrie,the industry
die Infektion,the infection
informieren,inform
die Information,the information
der Ingenieur,the engineer
der Inhalt,the content
inklusive,including
innen,inside
inner-,within
innerhalb,within
die Insel,the island
das Inserat,the advertisement
insgesamt,in total
installieren,install
das Institut,the institute
das Instrument,the instrument
integrieren,integrate
die Integration,the integration
intelligent,intelligent
die Intelligenz,the intelligence
intensiv,intensive
der Intensivkurs,the intensive course
interessieren,interested
interessant,interesting
das Interesse,the interest
interessiert,interested
interkulturell,intercultural
international,international
das Interview,the interview
inzwischen,in the meantime
irgendirgendein,any
irgendwann,sometime
sich irren,be wrong
ja,Yes
die Jacke,the jacket
die Jause,the snack
je,ever
je … desto …,the ... the …
die Jeans (Pl.),the jeans (pl.)
jeder,everyone
jederzeit,at any time
jedes Mal,every time
jedoch,however
jemals,ever
jemand,someone
jetzt,now
jeweils,respectively
der Journalist,the journalist
die Jugend,the youth
der Jugendliche,the young person
die Jugendherberge,the hostel
jung,young
der Junge,the young
das Kabel,the cable
die Kabine,the cabin
der Kaffee,the coffee
das Kaffeehaus,the coffee house
der Kakao,the cocoa
der Kalender,the calendar
kalt,cold
die Kälte,the cold
die Kamera,the camera
kämpfen,battle
der Kampf,the fight
der Kanal,the channel
der Kandidat,the candidate
die Kanne,the pot
die Kantine,the canteen
das Kapitel,the chapter
kaputt,broken
kaputtgehen,break down
kaputtmachen,break something
der Karneval,the carnival
die Karotte,the carrot
die Karriere,the career
die Karte,the map
die Chipkarte,the chip card
die Fahrkarte,the ticket
die Kartoffel,the potato
der Käse,the cheese
die Kasse,the cash register
die Kassette,the cassette
der Kasten,the box
der Kasten,the box
der Katalog,the catalogue
die Katastrophe,the catastrophe
(sich etwas) kaufen,buy (something).
der Kauf,the purchase
der Käufer,the buyer
kaum,barely
kein-,no-
der Keller,the cellar
der Kellner,the waiter
kennen,know
kennenlernen,get to know
die Kenntnisse (Pl.),the knowledge (pl.)
das Kennzeichen,the license plate
die Kerze,the candle
die Kette,the chain
das Kind,the child
der Kindergarten,the kindergarten
die Kindheit,childhood
das Kino,the cinema
der Kiosk,the kiosk
die Kirche,the church
die Kiste,the box
das Kissen,the pillow
klagen,complain
klappen,succeed
klar,clear
klären,clear up
klasse,class
die Klasse,the class
die Klassenarbeit,the class work
das Klavier,the piano
kleben,stick
das Kleid,the dress
die Kleidung,the clothing
klein,small
klettern,climb
klicken,click
der Klick,the click
das Klima,the climate
die Klimaanlage,the air conditioning
klingeln,ring
die Klingel,the bell
klingen,sound
die Klinik,the clinic
klopfen,knock
der Kloß,the dumpling
klug,smart
knapp,meager
die Kneipe,the pub
das Knie,the knee
der Knochen,the bone
der Knödel,the dumpling
der Knopf,the button
kochen,cook
der Koch,the cook
der Koffer,the suitcase
der Kollege,the colleague
komisch,funny
kommen,come
die Kommunikation,the communication
komplett,completely
kompliziert,complicated
der Kompromiss,the compromise
die Konferenz,the conference
die Konfitüre,the jam
der Konflikt,the conflict
der König,the king
die Konkurrenz,the competition
können,can
das Konsulat,the consulate
konsumieren,consume
der Konsum,the consumption
der Kontakt,the contact
das Konto,the account
das Girokonto,the checking account
kontrollieren,control
die Kontrolle,the control
sich konzentrieren,to concentrate
das Konzert,the concert
der Kopf,the head
kopieren,copy
die Kopie,the copy
der Kopierer,the copier
der Körper,the body
körperlich,physically
korrekt,correctly
der Korridor,the corridor
korrigieren,correct
kosten,cost
die Kosten (Pl.),the costs (pl.)
kostenlos,for free
kosten,cost
das Kostüm,the costume
die Kraft,the power
kräftig,strong
das Kraftfahrzeug,the motor vehicle
das Kraftwerk,the power plant
krank,sick
der Kranke,the sick person
das Krankenhaus,the hospital
die Krankenkasse,the health insurance company
der Krankenpfleger,the nurse
die Krankenschwester,the nurse
der Krankenwagen,the ambulance
die Krankheit,the disease
kreativ,creative
der Kredit,the credit
die Kreditkarte,the credit card
der Kreis,the circle
das Kreuz,the cross
die Kreuzung,the crossing
der Krieg,the war
kriegen,get
"Kriminal-
die Kriminalpolizei","criminal
the criminal police"
der Krimi,the crime thriller
die Krise,the crisis
kritisieren,criticize
die Kritik,the criticism
kritisch,critical
die Küche,the kitchen
der Kuchen,the cake
der Kugelschreiber,the ballpoint pen
der Kuli,ballpen
kühl,cool
der Kühlschrank,the refrigerator
die Kultur,the culture
kulturell,cultural
sich kümmern,take care
der Kunde,the customer
kündigen,quit
die Kündigung,the termination
die Kunst,art
der Künstler,the artist
künstlich,artificially
der Kunststoff,the plastic
der Kurs,the course
der Kursleiter,the course leader
die Kurve,the curve
kurz,short
kürzlich,recently
